Nhóm ngành,Tên ngành,Mã ngành,Tên trường,Mã trường,Tổ hợp môn,Điểm chuẩn
Nghiệp vụ,Du lịch,7810101,Đại học Thái Bình Dương,TBD,"A07,C00,D01,D03,D14",15
Nghiệp vụ,Du lịch - Hướng dẫn du lịch quốc tế,7810101C,Đại học Văn hóa Hà Nội,VHH,"A16,A17,D01,D78,D96",31.85
Nghiệp vụ,Bảo hiểm,7340204,Đại Học Kinh Tế Quốc Dân,KHA,"A00,A01,D01,D07",26.4
Nghiệp vụ,Bảo hiểm,7340204,Đại học Lao động Xã hội (Cơ sở Hà Nội),DLX,"A00,A01,D01",21.15
Nghiệp vụ,Bảo hiểm,7340204,Đại học Kinh tế TP. Hồ Chí Minh,KSA,"A00,A01,D01,D07",24.8
Xã Hội,Công tác xã hội,7760101,Học viện Báo chí và Tuyên truyền,HBT,"D01,R22",24.57
Xã Hội,Công tác xã hội,7760101,Học viện Thanh thiếu niên Việt Nam,HTN,"A09,C00,C20,D01",15
Xã Hội,Công tác xã hội,7760101C,Đại học Sư phạm Hà Nội,SPH,C00,24.25
Xã Hội,Lịch sử,7229010,Học viện Báo chí và Tuyên truyền,HBT,"C00,C19",37.5
Xã Hội,Lịch sử,QHX08,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc Gia Hà Nội,QHX,D04,22
Xã Hội,Lịch sử,7229010,Đại học Khoa học - Đại học Thái Nguyên,DTZ,"C00,C14,D01,D84",15
Xã Hội,Kinh tế chính trị,7310102,Học viện Báo chí và Tuyên truyền,HBT,C15,25.72
Xã Hội,Kinh tế chính trị,7310102,Đại học Kinh Tế - Đại học Huế,DHK,"A00,A01,C15,D01",16
Xã Hội,Lưu trữ học,QHX09,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,QHX,"A01,D01",22.5
Xã Hội,Lưu trữ học,7320303,Đại học Nội vụ Hà Nội,DNV,"C19,C20",18
Nghiên cứu,Công nghệ sinh học,QHT44,Đại học Khoa học tự nhiên - Đại học Quốc Gia Hà Nội,QHT,"A00,A02,B00,D08",20.25
Nghiên cứu,Công nghệ sinh học,TLA119,Đại học Thủy Lợi (Cơ sở 1),TLA,"A00,A02,B00,D08",18.2
Nghiên cứu,Công nghệ sinh học,7420201,Đại học Đà Lạt,TDL,"A00,B00,B08,D90",16
Nghiên cứu,Kỹ thuật không gian,7520121,Đại học Khoa Học Và Công Nghệ Hà Nội,KCN,"A00,A01,A02,D07",23.65
Nghiên cứu,Kỹ thuật không gian,7520121,Đại học Quốc tế - Đại học Quốc gia TP HCM,QSQ,"A00,A01,A02,D90",21
Nghiên cứu,Quản trị đô thị thông minh và bền vững,7900204,Khoa Các khoa học liên ngành - Đại học Quốc gia Hà Nội,QHK,"A00,A01,D01,D03,D04",23.9
Nghiên cứu,Vật lý kỹ thuật,PH1X,Đại học Bách khoa Hà Nội,BKA,K01,14.5
Nghiên cứu,Vật lý học,7440102,Đại học Sư Phạm - Đại học Huế,DHS,"A00,A01,D07,D90",26
Nghiên cứu,Vật lý học,7440102,Đại học Sư phạm TP HCM,SPS,"A00,A01",21.5
